"nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,        pressure,velocity-magnitude,     temperature"
"1, 1.900000000E-01, 1.750000000E-02,-4.500000000E-02, 2.514991293E-01, 0.000000000E+00, 3.478338483E+02"
"2, 1.900000000E-01, 1.601059647E-02,-4.477301552E-02, 2.494846260E-01, 0.000000000E+00, 3.477804201E+02"
"3, 1.900000000E-01, 1.905105535E-02,-4.475333854E-02, 2.485622943E-01, 0.000000000E+00, 3.477384860E+02"
"4, 1.900000000E-01, 1.460272584E-02,-4.407502177E-02, 2.486041359E-01, 0.000000000E+00, 3.477744189E+02"
"5, 1.900000000E-01, 2.044996277E-02,-4.403704343E-02, 2.490924956E-01, 0.000000000E+00, 3.477502340E+02"
"6, 1.900000000E-01, 1.754476487E-02,-4.368390325E-02, 0.000000000E+00, 5.916205099E-01, 3.346343636E+02"
"7, 1.900000000E-01, 1.870330217E-02,-4.357476083E-02, 0.000000000E+00, 5.868495895E-01, 3.347015416E+02"
"8, 1.900000000E-01, 1.637262629E-02,-4.354846050E-02, 0.000000000E+00, 5.883983136E-01, 3.347009897E+02"
"9, 1.900000000E-01, 1.532119934E-02,-4.315618042E-02, 0.000000000E+00, 5.783973828E-01, 3.348778785E+02"
"10, 1.900000000E-01, 1.968165099E-02,-4.308802320E-02, 0.000000000E+00, 5.857281923E-01, 3.347308561E+02"
"11, 1.900000000E-01, 1.348089600E-02,-4.297435759E-02, 2.520892564E-01, 0.000000000E+00, 3.478797926E+02"
"12, 1.900000000E-01, 2.155682497E-02,-4.292269930E-02, 2.549922633E-01, 0.000000000E+00, 3.479171250E+02"
"13, 1.900000000E-01, 1.755602034E-02,-4.274920457E-02, 0.000000000E+00, 6.840223708E-01, 3.333264514E+02"
"14, 1.900000000E-01, 1.658939975E-02,-4.258541123E-02, 0.000000000E+00, 6.780141568E-01, 3.334331987E+02"
"15, 1.900000000E-01, 1.574736835E-02,-4.253838640E-02, 0.000000000E+00, 6.599452494E-01, 3.337137582E+02"
"16, 1.900000000E-01, 1.870298191E-02,-4.252575310E-02, 0.000000000E+00, 6.752882508E-01, 3.334496402E+02"
"17, 1.900000000E-01, 1.459207499E-02,-4.226480699E-02, 0.000000000E+00, 5.873732886E-01, 3.347902280E+02"
"18, 1.900000000E-01, 2.036176514E-02,-4.220263878E-02, 0.000000000E+00, 5.958390618E-01, 3.346098462E+02"
"19, 1.900000000E-01, 1.821811259E-02,-4.186106542E-02, 0.000000000E+00, 7.166463526E-01, 3.328759816E+02"
"20, 1.900000000E-01, 1.541258698E-02,-4.184005786E-02, 0.000000000E+00, 6.727380350E-01, 3.335612796E+02"
"21, 1.900000000E-01, 1.739952827E-02,-4.183988149E-02, 0.000000000E+00, 7.195235001E-01, 3.328429608E+02"
"22, 1.900000000E-01, 1.641981966E-02,-4.175651662E-02, 0.000000000E+00, 7.083552543E-01, 3.330274371E+02"
"23, 1.900000000E-01, 1.946663477E-02,-4.170695161E-02, 0.000000000E+00, 6.873476151E-01, 3.333105919E+02"
"24, 1.900000000E-01, 1.275642909E-02,-4.158067549E-02, 2.582960721E-01, 0.000000000E+00, 3.480832350E+02"
"25, 1.900000000E-01, 2.226350953E-02,-4.151953183E-02, 2.595712508E-01, 0.000000000E+00, 3.480761305E+02"
"26, 1.900000000E-01, 1.841616545E-02,-4.121386915E-02, 0.000000000E+00, 7.243664769E-01, 3.327927773E+02"
"27, 1.900000000E-01, 1.414948405E-02,-4.121269160E-02, 0.000000000E+00, 5.945848145E-01, 3.347461181E+02"
"28, 1.900000000E-01, 2.086133998E-02,-4.113418635E-02, 0.000000000E+00, 6.002412655E-01, 3.345876196E+02"
"29, 1.900000000E-01, 1.515961818E-02,-4.100421628E-02, 0.000000000E+00, 6.801312449E-01, 3.335081723E+02"
"30, 1.900000000E-01, 1.733077161E-02,-4.095896679E-02, 0.000000000E+00, 7.330754249E-01, 3.326896617E+02"
"31, 1.900000000E-01, 1.625460239E-02,-4.092856120E-02, 0.000000000E+00, 7.185502534E-01, 3.329290454E+02"
"32, 1.900000000E-01, 1.980545842E-02,-4.084953562E-02, 0.000000000E+00, 6.874707371E-01, 3.333549658E+02"
"33, 1.900000000E-01, 1.864102558E-02,-4.047848382E-02, 0.000000000E+00, 7.244492763E-01, 3.328431319E+02"
"34, 1.900000000E-01, 1.610760274E-02,-4.011141903E-02, 0.000000000E+00, 7.147818942E-01, 3.330563899E+02"
"35, 1.900000000E-01, 1.500559901E-02,-4.008987696E-02, 0.000000000E+00, 6.759109609E-01, 3.336440245E+02"
"36, 1.900000000E-01, 1.398218286E-02,-4.006427736E-02, 0.000000000E+00, 5.929650057E-01, 3.348563387E+02"
"37, 1.900000000E-01, 1.731882324E-02,-4.004816415E-02, 0.000000000E+00, 7.300693611E-01, 3.328148647E+02"
